# Matter power spectrum P(k) at redshift z=0
# for k=1.02888e-05 to 7545.77 h/Mpc,
# number of wavenumbers equal to 857
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.530462618844e-01       2.409492140292e+02 
       5.692167900913e-01       2.263764717087e+02 
       5.856466140626e-01       2.128764036236e+02 
       6.023286165473e-01       2.002196570397e+02 
       6.192569781354e-01       1.883674028742e+02 
       6.364274555158e-01       1.773773398581e+02 
       6.538376153987e-01       1.671617509718e+02 
       6.714870148561e-01       1.575934382518e+02 
       6.893773221543e-01       1.486449245627e+02 
       7.075123757507e-01       1.403062110852e+02 
       7.258981826243e-01       1.325081474580e+02 
       7.445428601958e-01       1.251925234595e+02 
       7.634565285417e-01       1.183373487839e+02 
       7.826511613116e-01       1.119104990625e+02 
       8.021404046972e-01       1.058723323580e+02 
       8.219393740588e-01       1.001905127097e+02 
       8.420644375153e-01       9.484164961243e+01 
       8.625329950905e-01       8.980328946011e+01 
       8.833632610339e-01       8.505174981677e+01 
       9.045740558061e-01       8.056638634726e+01 
       9.261846130485e-01       7.632846748199e+01 
       9.482144056854e-01       7.232094102751e+01 
       9.706829941871e-01       6.853012015299e+01 
       9.936098989660e-01       6.494156792338e+01 
       1.017014497898e+00       6.154413371118e+01 
       1.040915949062e+00       5.832382961964e+01 
       1.065333137982e+00       5.526928837759e+01 
       1.090284647951e+00       5.237530788473e+01 
       1.115788751400e+00       4.962950901489e+01 
       1.141863419847e+00       4.702617759317e+01 
       1.168526349568e+00       4.455577044391e+01 
       1.195794999990e+00       4.221310120974e+01 
       1.223686641746e+00       3.999135498515e+01 
       1.252218411397e+00       3.788155538602e+01 
       1.281407370089e+00       3.588066744630e+01 
       1.311270563662e+00       3.398209548341e+01 
       1.341825082159e+00       3.218065959871e+01 
       1.373088117064e+00       3.047269735078e+01 
       1.405077015057e+00       2.885265555032e+01 
       1.437809327465e+00       2.731599892349e+01 
       1.471302854987e+00       2.585881783567e+01 
       1.505575687557e+00       2.447747057437e+01 
       1.540646239518e+00       2.316721264366e+01 
       1.576533280422e+00       2.192590226243e+01 
       1.613255961917e+00       2.074833992255e+01 
       1.650833841278e+00       1.963273575695e+01 
       1.689286902102e+00       1.857546442200e+01 
       1.728635572733e+00       1.757303110059e+01 
       1.768900742911e+00       1.662375868606e+01 
       1.810103779074e+00       1.572412147911e+01 
       1.852266538707e+00       1.487202259478e+01 
       1.895411384040e+00       1.406534008487e+01 
       1.939561195353e+00       1.330057450444e+01 
       1.984739384072e+00       1.257670851285e+01 
       2.030969905827e+00       1.189115680916e+01 
       2.078277273560e+00       1.124205053803e+01 
       2.126686570783e+00       1.062757497094e+01 
       2.176223465037e+00       1.004590922418e+01 
       2.226914221600e+00       9.495428320888e+00 
       2.278785717468e+00       8.974179387136e+00 
       2.331865455641e+00       8.481187164731e+00 
       2.386181579720e+00       8.014448881912e+00 
       2.441762888847e+00       7.572879282041e+00 
       2.498638852973e+00       7.154954551205e+00 
       2.556839628490e+00       6.759687658228e+00 
       2.616396074220e+00       6.385818874241e+00 
       2.677339767781e+00       6.032350446344e+00 
       2.739703022325e+00       5.697679196905e+00 
       2.803518903676e+00       5.381502990526e+00 
       2.868821247858e+00       5.082281747133e+00 
       2.935644679039e+00       4.799434248460e+00 
       3.004024627887e+00       4.532004956823e+00 
       3.073997350356e+00       4.279264118483e+00 
       3.145599946909e+00       4.040252251707e+00 
       3.218870382190e+00       3.814394715560e+00 
       3.293847505155e+00       3.600866570532e+00 
       3.370571069667e+00       3.399227148763e+00 
       3.449081755574e+00       3.208503516395e+00 
       3.529421190283e+00       3.028317039370e+00 
       3.611631970823e+00       2.858103833164e+00 
       3.695757686441e+00       2.697241131502e+00 
       3.781842941703e+00       2.545235096556e+00 
       3.869933380151e+00       2.401691783417e+00 
       3.960075708502e+00       2.266133752804e+00 
       4.052317721411e+00       2.137962121046e+00 
       4.146708326815e+00       2.016987424030e+00 
       4.243297571862e+00       1.902761733310e+00 
       4.342136669448e+00       1.794975225915e+00 
       4.443278025372e+00       1.693067158222e+00 
       4.546775266118e+00       1.596906639175e+00 
       4.652683267294e+00       1.506158945855e+00 
       4.761058182724e+00       1.420433399913e+00 
       4.871957474222e+00       1.339486165074e+00 
       4.985439942061e+00       1.263157256857e+00 
       5.101565756148e+00       1.191028657861e+00 
       5.220396487926e+00       1.123010010190e+00 
       5.341995143021e+00       1.058802808938e+00 
       5.466426194652e+00       9.981997131675e-01 
       5.593755617807e+00       9.410307495921e-01 
       5.724050924233e+00       8.871065708999e-01 
       5.857381198226e+00       8.361839609393e-01 
       5.993817133262e+00       7.881803262787e-01 
       6.133431069479e+00       7.428508421880e-01 
       6.276297032035e+00       7.001078329726e-01 
       6.422490770354e+00       6.598278006208e-01 
       6.572089798291e+00       6.218136808973e-01 
       6.725173435231e+00       5.859522993436e-01 
       6.881822848144e+00       5.520986199466e-01 
       7.042121094624e+00       5.201946926185e-01 
       7.206153166921e+00       4.901517278373e-01 
       7.374006037012e+00       4.617841184263e-01 
       7.545768702710e+00       4.350496218090e-01 
       7.721532234855e+00       4.098278796101e-01 
       7.901389825597e+00       3.860510061157e-01 
       8.085436837812e+00       3.636514138625e-01 
       8.273770855661e+00       3.425335651746e-01 
       8.466491736335e+00       3.226155255795e-01 
       8.663701662995e+00       3.038538599755e-01 
       8.865505198953e+00       2.861532162613e-01 
       9.072009343118e+00       2.694916903987e-01 
       9.283323586718e+00       2.537723563115e-01 
       9.499559971363e+00       2.389674611558e-01 
       9.720833148447e+00       2.250145855617e-01 
       9.947260439936e+00       2.118648149629e-01 
       1.017896190058e+01       1.994817047640e-01 
       1.041606038155e+01       1.878091337085e-01 
       1.065868159562e+01       1.768126873425e-01 
       1.090695418375e+01       1.664510549889e-01 
       1.116100978336e+01       1.566898972070e-01 
       1.142098309808e+01       1.474956398489e-01 
       1.168701196923e+01       1.388353591843e-01 
       1.195923744881e+01       1.306777632941e-01 
       1.223780387439e+01       1.229947739846e-01 
       1.252285894557e+01       1.157588088008e-01 
       1.281455380232e+01       1.089435199235e-01 
       1.311304310512e+01       1.025243082444e-01 
       1.341848511695e+01       9.648069874012e-02 
       1.373104178719e+01       9.079011592702e-02 
       1.405087883755e+01       8.543033161347e-02 
       1.437816584985e+01       8.038513603465e-02 
       1.471307635600e+01       7.563436180017e-02 
       1.505578792999e+01       7.116110803265e-02 
       1.540648228202e+01       6.695052954216e-02 
       1.576534535489e+01       6.298659834781e-02 
       1.613256742255e+01       5.925424382238e-02 
       1.650834319099e+01       5.574063372000e-02 
       1.689287190150e+01       5.243421579757e-02 
       1.728635743631e+01       4.932236065458e-02 
       1.768900842663e+01       4.639302811931e-02 
       1.810103836337e+01       4.363586816341e-02 
       1.852266571024e+01       4.104103657544e-02 
       1.895411401965e+01       3.859903964039e-02 
       1.939561205120e+01       3.630090462276e-02 
       1.984739389298e+01       3.413850538514e-02 
       2.030969908573e+01       3.210349572265e-02 
